id,region_id,identifier,name,subtitle
81,2.0,mt-mortar,Mt. Mortar,
82,2.0,mt-silver,Mt. Silver,
83,2.0,national-park,National Park,
84,2.0,new-bark-town,New Bark Town,
85,2.0,olivine-city,Olivine City,
86,1.0,pallet-town,Pallet Town,
87,1.0,rock-tunnel,Rock Tunnel,
88,1.0,kanto-route-1,Route 1,
89,1.0,kanto-route-10,Route 10,
90,1.0,kanto-route-11,Route 11,
91,1.0,kanto-route-12,Route 12,
92,1.0,kanto-route-13,Route 13,
93,1.0,kanto-route-14,Route 14,
94,1.0,kanto-route-15,Route 15,
95,1.0,kanto-route-16,Route 16,
96,1.0,kanto-route-17,Route 17,
97,1.0,kanto-route-18,Route 18,
98,1.0,kanto-sea-route-19,Sea Route 19,
99,1.0,kanto-route-2,Route 2,
100,1.0,kanto-sea-route-20,Sea Route 20,
101,1.0,kanto-sea-route-21,Sea Route 21,
102,1.0,kanto-route-22,Route 22,
103,1.0,kanto-route-24,Route 24,
104,1.0,kanto-route-25,Route 25,
105,1.0,kanto-route-26,Route 26,
106,1.0,kanto-route-27,Route 27,
107,1.0,kanto-route-28,Route 28,
108,2.0,johto-route-29,Route 29,
109,1.0,kanto-route-3,Route 3,
110,2.0,johto-route-30,Route 30,
111,2.0,johto-route-31,Route 31,
112,2.0,johto-route-32,Route 32,
113,2.0,johto-route-33,Route 33,
114,2.0,johto-route-34,Route 34,
115,2.0,johto-route-35,Route 35,
116,2.0,johto-route-36,Route 36,
117,2.0,johto-route-37,Route 37,
118,2.0,johto-route-38,Route 38,
119,2.0,johto-route-39,Route 39,
120,1.0,kanto-route-4,Route 4,
121,2.0,johto-sea-route-40,Sea Route 40,
122,2.0,johto-sea-route-41,Sea Route 41,
123,2.0,johto-route-42,Route 42,
124,2.0,johto-route-43,Route 43,
125,2.0,johto-route-44,Route 44,
126,2.0,johto-route-45,Route 45,
127,2.0,johto-route-46,Route 46,
128,2.0,johto-route-47,Route 47,
129,2.0,johto-route-48,Route 48,
130,1.0,kanto-route-5,Route 5,
131,1.0,kanto-route-6,Route 6,
132,1.0,kanto-route-7,Route 7,
133,1.0,kanto-route-8,Route 8,
134,1.0,kanto-route-9,Route 9,
135,2.0,ruins-of-alph,Ruins of Alph,
136,1.0,seafoam-islands,Seafoam Islands,
137,2.0,slowpoke-well,Slowpoke Well,
138,2.0,sprout-tower,Sprout Tower,
139,2.0,bell-tower,Bell Tower,
140,2.0,tohjo-falls,Tohjo Falls,
141,2.0,union-cave,Union Cave,
147,1.0,cerulean-cave,Cerulean Cave,
148,2.0,unknown-all-poliwag,Unknown; all Poliwag,
149,2.0,unknown-all-rattata,Unknown; all Rattata,
150,2.0,unknown-all-bugs,Unknown; all bugs,
151,1.0,vermilion-city,Vermilion City,
152,1.0,kanto-victory-road-1,Victory Road,
153,2.0,violet-city,Violet City,
154,1.0,viridian-city,Viridian City,
155,1.0,viridian-forest,Viridian Forest,
156,2.0,whirl-islands,Whirl Islands,
157,1.0,kanto-route-23,Route 23,
158,1.0,power-plant,Power Plant,
159,1.0,kanto-victory-road-2,Victory Road,
160,1.0,pokemon-tower,Pokémon Tower,
161,1.0,pokemon-mansion,Pokémon Mansion,
162,1.0,kanto-safari-zone,Safari Zone,
163,4.0,sandgem-town,Sandgem Town,
164,4.0,floaroma-town,Floaroma Town,
165,4.0,solaceon-town,Solaceon Town,
167,4.0,jubilife-city,Jubilife City,
168,4.0,oreburgh-city,Oreburgh City,
169,4.0,hearthome-city,Hearthome City,
170,4.0,veilstone-city,Veilstone City,
171,4.0,snowpoint-city,Snowpoint City,
172,4.0,spear-pillar,Spear Pillar,
173,4.0,pal-park,Pal Park,
174,4.0,amity-square,Amity Square,
175,4.0,floaroma-meadow,Floaroma Meadow,
177,4.0,fullmoon-island,Fullmoon Island,
178,4.0,sendoff-spring,Sendoff Spring,
179,4.0,flower-paradise,Flower Paradise,
180,4.0,maniac-tunnel,Maniac Tunnel,
181,4.0,galactic-hq,Galactic HQ,
182,4.0,verity-lakefront,Verity Lakefront,
183,4.0,newmoon-island,Newmoon Island,
184,4.0,sinnoh-battle-tower,Battle Tower,
185,4.0,fight-area,Fight Area,
186,4.0,survival-area,Survival Area,
187,4.0,seabreak-path,Seabreak Path,
188,4.0,sinnoh-hall-of-origin-1,Hall of Origin,
189,4.0,sinnoh-hall-of-origin-2,Hall of Origin,
190,4.0,verity-cavern,Verity Cavern,
191,4.0,valor-cavern,Valor Cavern,
192,4.0,acuity-cavern,Acuity Cavern,
193,4.0,jubilife-tv,Jubilife TV,
194,4.0,poketch-co,Pokétch Co.,
195,4.0,gts,GTS,
196,4.0,trainers-school,Trainers’ School,
197,4.0,mining-museum,Mining Museum,
198,4.0,sinnoh-flower-shop,Flower Shop,
199,4.0,sinnoh-cycle-shop,Cycle Shop,
200,4.0,contest-hall,Contest Hall,
201,4.0,poffin-house,Poffin House,
202,4.0,sinnoh-foreign-building,Foreign Building,
203,4.0,pokemon-day-care,Pokémon Day Care,
204,4.0,veilstone-store,Veilstone Store,
205,4.0,sinnoh-game-corner,Game Corner,
206,4.0,canalave-library,Canalave Library,
207,4.0,vista-lighthouse,Vista Lighthouse,
208,4.0,sunyshore-market,Sunyshore Market,
209,4.0,footstep-house,Footstep House,
210,4.0,sinnoh-cafe,Café,
211,4.0,grand-lake,Grand Lake,
212,4.0,sinnoh-restaurant,Restaurant,
213,4.0,battle-park,Battle Park,
214,4.0,battle-frontier,Battle Frontier,
215,4.0,battle-factory,Battle Factory,
216,4.0,battle-castle,Battle Castle,
217,4.0,battle-arcade,Battle Arcade,
218,4.0,battle-hall,Battle Hall,
219,4.0,distortion-world,Distortion World,
220,4.0,sinnoh-global-terminal,Global Terminal,
221,4.0,sinnoh-villa,Villa,
222,4.0,battleground,Battleground,
223,4.0,rotoms-room,ROTOM's Room,
224,4.0,tg-eterna-bldg,T.G. Eterna Bldg,
225,4.0,iron-ruins,Iron Ruins,
226,4.0,iceberg-ruins,Iceberg Ruins,
227,4.0,rock-peak-ruins,Rock Peak Ruins,
228,2.0,azalea-town,Azalea Town,
229,2.0,goldenrod-city,Goldenrod City,
230,2.0,mahogany-town,Mahogany Town,
231,1.0,pewter-city,Pewter City,
232,1.0,lavender-town,Lavender Town,
233,1.0,indigo-plateau,Indigo Plateau,
234,1.0,saffron-city,Saffron City,
236,2.0,johto-lighthouse,Lighthouse,
237,2.0,team-rocket-hq,Team Rocket HQ,
238,2.0,goldenrod-tunnel,Goldenrod Tunnel,
239,2.0,mt-silver-cave,Mt. Silver Cave,
241,2.0,pokeathlon-dome,Pokéathlon Dome,
242,2.0,ss-aqua,S.S. Aqua,
243,2.0,safari-zone-gate,Safari Zone Gate,
244,2.0,cliff-cave,Cliff Cave,
245,2.0,frontier-access,Frontier Access,
246,2.0,bellchime-trail,Bellchime Trail,
247,2.0,sinjoh-ruins,Sinjoh Ruins,
248,2.0,embedded-tower,Embedded Tower,
249,2.0,pokewalker,Pokéwalker,
250,2.0,cliff-edge-gate,Cliff Edge Gate,
252,2.0,radio-tower,Radio Tower,
253,,day-care-couple,Day-Care Couple,
254,,link-trade-arrive,Link trade (arrive),
255,,link-trade-met,Link trade (met),
256,,kanto,Kanto,
257,,johto,Johto,
258,,hoenn,Hoenn,
259,,sinnoh,Sinnoh,
260,,distant-land,Distant land,
261,,traveling-man,Traveling Man,
262,,riley,Riley,
263,,cynthia,Cynthia,
264,,mystery-zone,Mystery Zone,
265,,lovely-place,Lovely place,
266,,pokemon-ranger,Pokémon Ranger,
267,,faraway-place,Faraway place,
268,,pokemon-movie,Pokémon Movie,
269,,pokemon-movie-06,Pokémon Movie 06,
270,,pokemon-movie-07,Pokémon Movie 07,
271,,pokemon-movie-08,Pokémon Movie 08,
272,,pokemon-movie-09,Pokémon Movie 09,
273,,pokemon-movie-10,Pokémon Movie 10,
274,,pokemon-movie-11,Pokémon Movie 11,
275,,pokemon-movie-12,Pokémon Movie 12,
276,,pokemon-movie-13,Pokémon Movie 13,
277,,pokemon-movie-14,Pokémon Movie 14,
278,,pokemon-movie-15,Pokémon Movie 15,
279,,pokemon-movie-16,Pokémon Movie 16,
280,,pokemon-cartoon,Pokémon Cartoon,
281,,space-world,Space World,
282,,space-world-06,Space World 06,
283,,space-world-07,Space World 07,
284,,space-world-08,Space World 08,
285,,space-world-09,Space World 09,
286,,space-world-10,Space World 10,
287,,space-world-11,Space World 11,
288,,space-world-12,Space World 12,
289,,space-world-13,Space World 13,
290,,space-world-14,Space World 14,
291,,space-world-15,Space World 15,
292,,space-world-16,Space World 16,
293,,pokemon-festa,Pokémon Festa,
294,,pokemon-festa-06,Pokémon Festa 06,
295,,pokemon-festa-07,Pokémon Festa 07,
296,,pokemon-festa-08,Pokémon Festa 08,
297,,pokemon-festa-09,Pokémon Festa 09,
298,,pokemon-festa-10,Pokémon Festa 10,
299,,pokemon-festa-11,Pokémon Festa 11,
300,,pokemon-festa-12,Pokémon Festa 12,
301,,pokemon-festa-13,Pokémon Festa 13,
302,,pokemon-festa-14,Pokémon Festa 14,
303,,pokemon-festa-15,Pokémon Festa 15,
304,,pokemon-festa-16,Pokémon Festa 16,
305,,pokepark,POKéPARK,
306,,pokepark-06,POKéPARK 06,
307,,pokepark-07,POKéPARK 07,
308,,pokepark-08,POKéPARK 08,
309,,pokepark-09,POKéPARK 09,
310,,pokepark-10,POKéPARK 10,
311,,pokepark-11,POKéPARK 11,
312,,pokepark-12,POKéPARK 12,
313,,pokepark-13,POKéPARK 13,
314,,pokepark-14,POKéPARK 14,
315,,pokepark-15,POKéPARK 15,
316,,pokepark-16,POKéPARK 16,
317,,pokemon-center,Pokémon Center,
318,,pc-tokyo,PC Tokyo,
319,,pc-osaka,PC Osaka,
320,,pc-fukuoka,PC Fukuoka,
321,,pc-nagoya,PC Nagoya,
322,,pc-sapporo,PC Sapporo,
323,,pc-yokohama,PC Yokohama,
324,,nintendo-world,Nintendo World,
325,,pokemon-event,Pokémon Event,
326,,pokemon-event-06,Pokémon Event 06,
327,,pokemon-event-07,Pokémon Event 07,
328,,pokemon-event-08,Pokémon Event 08,
329,,pokemon-event-09,Pokémon Event 09,
330,,pokemon-event-10,Pokémon Event 10,
331,,pokemon-event-11,Pokémon Event 11,
332,,pokemon-event-12,Pokémon Event 12,
333,,pokemon-event-13,Pokémon Event 13,
334,,pokemon-event-14,Pokémon Event 14,
335,,pokemon-event-15,Pokémon Event 15,
336,,pokemon-event-16,Pokémon Event 16,
337,,wi-fi-event,Wi-Fi Event,
338,,wi-fi-gift,Wi-Fi Gift,
339,,pokemon-fan-club,Pokémon Fan Club,
340,,event-site,Event Site,
341,,concert-event,Concert Event,
342,,mr-pokemon,Mr. Pokémon,
343,,primo,Primo,
344,5.0,unova-mystery-zone,Mystery Zone,
345,5.0,unova-faraway-place,Faraway place,
346,5.0,nuvema-town,Nuvema Town,
347,5.0,accumula-town,Accumula Town,
348,5.0,striaton-city,Striaton City,
349,5.0,nacrene-city,Nacrene City,
350,5.0,castelia-city,Castelia City,
351,5.0,nimbasa-city,Nimbasa City,
352,5.0,driftveil-city,Driftveil City,
353,5.0,mistralton-city,Mistralton City,
354,5.0,icirrus-city,Icirrus City,
355,5.0,opelucid-city,Opelucid City,
356,5.0,unova-route-1,Route 1,
357,5.0,unova-route-2,Route 2,
358,5.0,unova-route-3,Route 3,
359,5.0,unova-route-4,Route 4,
360,5.0,unova-route-5,Route 5,
361,5.0,unova-route-6,Route 6,
362,5.0,unova-route-7,Route 7,
363,5.0,unova-route-8,Route 8,
364,5.0,unova-route-9,Route 9,
365,5.0,unova-route-10,Route 10,
366,5.0,unova-route-11,Route 11,
367,5.0,unova-route-12,Route 12,
368,5.0,unova-route-13,Route 13,
369,5.0,unova-route-14,Route 14,
370,5.0,unova-route-15,Route 15,
371,5.0,unova-route-16,Route 16,
372,5.0,unova-route-17,Route 17,
373,5.0,unova-route-18,Route 18,
374,5.0,dreamyard,Dreamyard,
375,5.0,pinwheel-forest,Pinwheel Forest,
376,5.0,desert-resort,Desert Resort,
377,5.0,relic-castle,Relic Castle,
378,5.0,cold-storage,Cold Storage,
379,5.0,chargestone-cave,Chargestone Cave,
380,5.0,twist-mountain,Twist Mountain,
381,5.0,dragonspiral-tower,Dragonspiral Tower,
382,5.0,unova-victory-road,Victory Road,
383,5.0,lacunosa-town,Lacunosa Town,
384,5.0,undella-town,Undella Town,
385,5.0,anville-town,Anville Town,
386,5.0,unova-pokemon-league,Pokémon League,
387,5.0,ns-castle,N's Castle,
388,5.0,royal-unova,Royal Unova,
389,5.0,gear-station,Gear Station,
390,5.0,battle-subway,Battle Subway,
391,5.0,musical-theater,Musical Theater,
392,5.0,black-city,Black City,
393,5.0,white-forest,White Forest,
394,5.0,unity-tower,Unity Tower,
395,5.0,wellspring-cave,Wellspring Cave,
396,5.0,mistralton-cave,Mistralton Cave,
397,5.0,rumination-field,Rumination Field,
398,5.0,celestial-tower,Celestial Tower,
399,5.0,moor-of-icirrus,Moor of Icirrus,
400,5.0,unova-shopping-mall,Shopping Mall,
401,5.0,challengers-cave,Challenger's Cave,
402,5.0,poke-transfer-lab,Poké Transfer Lab,
403,5.0,giant-chasm,Giant Chasm,
404,5.0,liberty-garden,Liberty Garden,
405,5.0,p2-laboratory,P2 Laboratory,
406,5.0,skyarrow-bridge,Skyarrow Bridge,
407,5.0,driftveil-drawbridge,Driftveil Drawbridge,
408,5.0,tubeline-bridge,Tubeline Bridge,
409,5.0,village-bridge,Village Bridge,
410,5.0,marvelous-bridge,Marvelous Bridge,
411,5.0,entralink,Entralink,
412,5.0,abundant-shrine,Abundant Shrine,
413,5.0,undella-bay,Undella Bay,
414,5.0,lostlorn-forest,Lostlorn Forest,
415,5.0,trial-chamber,Trial Chamber,
416,5.0,guidance-chamber,Guidance Chamber,
417,5.0,entree-forest,Entree Forest,
418,5.0,accumula-gate,Accumula Gate,
419,5.0,undella-gate,Undella Gate,
420,5.0,nacrene-gate,Nacrene Gate,
421,5.0,castelia-gate,Castelia Gate,
422,5.0,nimbasa-gate,Nimbasa Gate,
423,5.0,opelucid-gate,Opelucid Gate,
424,5.0,black-gate,Black Gate,
425,5.0,white-gate,White Gate,
426,5.0,bridge-gate,Bridge Gate,
427,5.0,route-gate,Route Gate,
428,5.0,abyssal-ruins,Abyssal Ruins,
429,3.0,petalburg-city,Petalburg City,
430,3.0,slateport-city,Slateport City,
431,3.0,lilycove-city,Lilycove City,
432,3.0,mossdeep-city,Mossdeep City,
433,3.0,sootopolis-city,Sootopolis City,
434,3.0,ever-grande-city,Ever Grande City,
435,3.0,meteor-falls,Meteor Falls,
436,3.0,rusturf-tunnel,Rusturf Tunnel,
437,3.0,granite-cave,Granite Cave,
438,3.0,petalburg-woods,Petalburg Woods,
439,3.0,jagged-pass,Jagged Pass,
440,3.0,fiery-path,Fiery Path,
441,3.0,mt-pyre,Mt. Pyre,
442,3.0,seafloor-cavern,Seafloor Cavern,
443,3.0,cave-of-origin,Cave of Origin,
444,3.0,hoenn-victory-road,Victory Road,
445,3.0,shoal-cave,Shoal Cave,
446,3.0,new-mauville,New Mauville,
447,3.0,abandoned-ship,Abandoned Ship,
448,3.0,sky-pillar,Sky Pillar,
449,3.0,hoenn-route-101,Route 101,
450,3.0,hoenn-route-102,Route 102,
451,3.0,hoenn-route-103,Route 103,
452,3.0,hoenn-route-104,Route 104,
453,3.0,hoenn-route-105,Route 105,
454,3.0,hoenn-route-106,Route 106,
455,3.0,hoenn-route-107,Route 107,
456,3.0,hoenn-route-108,Route 108,
457,3.0,hoenn-route-109,Route 109,
458,3.0,hoenn-route-110,Route 110,
459,3.0,hoenn-route-111,Route 111,
460,3.0,hoenn-route-112,Route 112,
461,3.0,hoenn-route-113,Route 113,
462,3.0,hoenn-route-114,Route 114,
463,3.0,hoenn-route-115,Route 115,
464,3.0,hoenn-route-116,Route 116,
465,3.0,hoenn-route-117,Route 117,
466,3.0,hoenn-route-118,Route 118,
467,3.0,hoenn-route-119,Route 119,
468,3.0,hoenn-route-120,Route 120,
469,3.0,hoenn-route-121,Route 121,
470,3.0,hoenn-route-122,Route 122,
471,3.0,hoenn-route-123,Route 123,
472,3.0,hoenn-route-124,Route 124,
473,3.0,hoenn-route-125,Route 125,
474,3.0,hoenn-route-126,Route 126,
475,3.0,hoenn-route-127,Route 127,
476,3.0,hoenn-route-128,Route 128,
477,3.0,hoenn-route-129,Route 129,
478,3.0,hoenn-route-130,Route 130,
479,3.0,hoenn-route-131,Route 131,
480,3.0,hoenn-route-132,Route 132,
481,3.0,hoenn-route-133,Route 133,
482,3.0,hoenn-route-134,Route 134,
483,3.0,hoenn-safari-zone,Safari Zone,
484,3.0,dewford-town,Dewford Town,
485,3.0,pacifidlog-town,Pacifidlog Town,
486,3.0,magma-hideout,Magma Hideout,
487,3.0,mirage-tower,Mirage Tower,
488,3.0,desert-underpass,Desert Underpass,
489,3.0,artisan-cave,Artisan Cave,
490,3.0,hoenn-altering-cave,Altering Cave,
491,1.0,monean-chamber,Monean Chamber,
492,1.0,liptoo-chamber,Liptoo Chamber,
493,1.0,weepth-chamber,Weepth Chamber,
494,1.0,dilford-chamber,Dilford Chamber,
495,1.0,scufib-chamber,Scufib Chamber,
496,1.0,rixy-chamber,Rixy Chamber,
497,1.0,viapos-chamber,Viapos Chamber,
498,1.0,ss-anne,S.S. Anne,
500,1.0,mt-ember,Mt. Ember,
501,1.0,berry-forest,Berry Forest,
502,1.0,icefall-cave,Icefall Cave,
503,1.0,pattern-bush,Pattern Bush,
504,1.0,lost-cave,Lost Cave,
505,1.0,kindle-road,Kindle Road,
506,1.0,treasure-beach,Treasure Beach,
507,1.0,cape-brink,Cape Brink,
508,1.0,bond-bridge,Bond Bridge,
509,1.0,three-isle-port,Three Isle Port,
510,1.0,resort-gorgeous,Resort Gorgeous,
511,1.0,water-labyrinth,Water Labyrinth,
512,1.0,five-isle-meadow,Five Isle Meadow,
513,1.0,memorial-pillar,Memorial Pillar,
514,1.0,outcast-island,Outcast Island,
515,1.0,green-path,Green Path,
516,1.0,water-path,Water Path,
517,1.0,ruin-valley,Ruin Valley,
518,1.0,trainer-tower,Trainer Tower,
519,1.0,canyon-entrance,Canyon Entrance,
520,1.0,sevault-canyon,Sevault Canyon,
521,1.0,tanoby-ruins,Tanoby Ruins,
526,1.0,one-island,One Island,
527,1.0,four-island,Four Island,
528,1.0,five-island,Five Island,
529,1.0,kanto-altering-cave,Altering Cave,
531,5.0,aspertia-city,Aspertia City,
532,5.0,virbank-city,Virbank City,
533,5.0,humilau-city,Humilau City,
534,5.0,pokestar-studios,PokéStar Studios,
535,5.0,join-avenue,Join Avenue,
536,5.0,floccesy-town,Floccesy Town,
537,5.0,lentimas-town,Lentimas Town,
538,5.0,unova-route-19,Route 19,
539,5.0,unova-route-20,Route 20,
540,5.0,unova-route-21,Route 21,
541,5.0,unova-route-22,Route 22,
542,5.0,unova-route-23,Route 23,
543,5.0,castelia-sewers,Castelia Sewers,
544,5.0,floccesy-ranch,Floccesy Ranch,
545,5.0,virbank-complex,Virbank Complex,
546,5.0,reversal-mountain,Reversal Mountain,
547,5.0,strange-house,Strange House,
548,5.0,unova-victory-road-2,Victory Road,
549,5.0,plasma-frigate,Plasma Frigate,
550,5.0,relic-passage,Relic Passage,
551,5.0,clay-tunnel,Clay Tunnel,
552,5.0,white-treehollow,White Treehollow,
553,5.0,black-tower,Black Tower,
554,5.0,seaside-cave,Seaside Cave,
555,5.0,cave-of-being,Cave of Being,
556,5.0,hidden-grotto,Hidden Grotto,
557,5.0,marine-tube,Marine Tube,
558,5.0,virbank-gate,Virbank Gate,
559,5.0,aspertia-gate,Aspertia Gate,
560,5.0,nature-sanctuary,Nature Sanctuary,
561,5.0,medal-secretariat,Medal Secretariat,
562,5.0,underground-ruins,Underground Ruins,
563,5.0,rocky-mountain-room,Rocky Mountain Room,
564,5.0,glacier-room,Glacier Room,
565,5.0,iron-room,Iron Room,
566,5.0,pledge-grove,Pledge Grove,
567,3.0,littleroot-town,Littleroot Town,
568,3.0,oldale-town,Oldale Town,
569,3.0,lavaridge-town,Lavaridge Town,
570,3.0,fallarbor-town,Fallarbor Town,
571,3.0,verdanturf-town,Verdanturf Town,
572,3.0,mauville-city,Mauville City,
573,3.0,rustboro-city,Rustboro City,
574,3.0,fortree-city,Fortree City,
575,3.0,underwater,Underwater,
576,3.0,mt-chimney,Mt. Chimney,
577,3.0,mirage-island,Mirage Island,
578,3.0,southern-island,Southern Island,
579,3.0,sealed-chamber,Sealed Chamber,
580,3.0,scorched-slab,Scorched Slab,
581,3.0,island-cave,Island Cave,
582,3.0,desert-ruins,Desert Ruins,
583,3.0,ancient-tomb,Ancient Tomb,
584,3.0,inside-of-truck,???,
585,3.0,secret-base,Secret Base,
586,3.0,hoenn-battle-tower,Battle Tower,
587,6.0,vaniville-town,Vaniville Town,
588,6.0,kalos-route-1,Route 1,
589,6.0,vaniville-pathway,Vaniville Pathway,
590,6.0,aquacorde-town,Aquacorde Town,
591,6.0,kalos-route-2,Route 2,
592,6.0,avance-trail,Avance Trail,
593,6.0,santalune-forest,Santalune Forest,
594,6.0,kalos-route-3,Route 3,
595,6.0,ouvert-way,Ouvert Way,
596,6.0,santalune-city,Santalune City,
597,6.0,kalos-route-4,Route 4,
598,6.0,parterre-way,Parterre Way,
599,6.0,lumiose-city,Lumiose City,
600,6.0,prism-tower,Prism Tower,
601,6.0,lysandre-labs,Lysandre Labs,
602,6.0,kalos-route-5,Route 5,
603,6.0,versant-road,Versant Road,
604,6.0,camphrier-town,Camphrier Town,
605,6.0,shabboneau-castle,Shabboneau Castle,
606,6.0,kalos-route-6,Route 6,
607,6.0,palais-lane,Palais Lane,
608,6.0,parfum-palace,Parfum Palace,
609,6.0,kalos-route-7,Route 7,
610,6.0,rivière-walk,Rivière Walk,
611,6.0,cyllage-city,Cyllage City,
612,6.0,kalos-route-8,Route 8,
613,6.0,muraille-coast,Muraille Coast,
614,6.0,ambrette-town,Ambrette Town,
615,6.0,kalos-route-9,Route 9,
616,6.0,spikes-passage,Spikes Passage,
617,6.0,battle-chateau,Battle Chateau,
618,6.0,kalos-route-10,Route 10,
619,6.0,menhir-trail,Menhir Trail,
620,6.0,geosenge-town,Geosenge Town,
621,6.0,kalos-route-11,Route 11,
622,6.0,miroir-way,Miroir Way,
623,6.0,reflection-cave,Reflection Cave,
624,6.0,shalour-city,Shalour City,
625,6.0,tower-of-mastery,Tower of Mastery,
626,6.0,kalos-route-12,Route 12,
627,6.0,fourrage-road,Fourrage Road,
628,6.0,coumarine-city,Coumarine City,
629,6.0,kalos-route-13,Route 13,
630,6.0,lumiose-badlands,Lumiose Badlands,
631,6.0,kalos-route-14,Route 14,
632,6.0,laverre-nature-trail,Laverre Nature Trail,
633,6.0,laverre-city,Laverre City,
634,6.0,poke-ball-factory,Poké Ball Factory,
635,6.0,kalos-route-15,Route 15,
636,6.0,brun-way,Brun Way,
637,6.0,dendemille-town,Dendemille Town,
638,6.0,kalos-route-16,Route 16,
639,6.0,melancolie-path,Mélancolie Path,
640,6.0,frost-cavern,Frost Cavern,
641,6.0,kalos-route-17,Route 17,
642,6.0,mamoswine-road,Mamoswine Road,
643,6.0,anistar-city,Anistar City,
644,6.0,kalos-route-18,Route 18,
645,6.0,vallee-etroite-way,Vallée Étroite Way,
646,6.0,couriway-town,Couriway Town,
647,6.0,kalos-route-19,Route 19,
648,6.0,grande-vallee-way,Grande Vallée Way,
649,6.0,snowbelle-city,Snowbelle City,
650,6.0,kalos-route-20,Route 20,
651,6.0,winding-woods,Winding Woods,
652,6.0,pokemon-village,Pokémon Village,
653,6.0,kalos-route-21,Route 21,
654,6.0,dernière-way,Dernière Way,
655,6.0,kalos-route-22,Route 22,
656,6.0,detourner-way,Détourner Way,
657,6.0,kalos-victory-road,Victory Road,
658,6.0,kalos-pokemon-league,Pokémon League,
659,6.0,kiloude-city,Kiloude City,
660,6.0,battle-maison,Battle Maison,
661,6.0,azure-bay,Azure Bay,
662,6.0,dendemille-gate,Dendemille Gate,
663,6.0,couriway-gate,Couriway Gate,
664,6.0,ambrette-gate,Ambrette Gate,
